amount_log,is_recurring,gateway_health_score,hour_of_day_sin,hour_of_day_cos,previous_attempts,previous_failures,previous_successful_payments,customer_tenure_days_log,success_rate_history,failure_cat_INFRASTRUCTURE_TRANSIENT,failure_cat_TEMPORARY_PAYMENT_ISSUE,failure_cat_PAYMENT_METHOD_ISSUE,failure_cat_CUSTOMER_ACTION_REQUIRED,failure_cat_HARD_UNRECOVERABLE,failure_cat_UNKNOWN,gateway_GATEWAY_A,gateway_GATEWAY_B,gateway_GATEWAY_C,action_INFRASTRUCTURE_RECOVERY,action_SILENT_RETRY,action_WAIT,action_CUSTOMER_RESOLUTION,transaction_id,amount,failure_code,failure_category,action,recovered
6.836259277277067,0.0,0.9439787173955663,-0.8660254037844386,0.5000000000000001,0.0,1.0,6.0,6.030685260261263,0.8571428571428571,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,SYN-0000000,930.0,ISSUER_DECLINED_SOFT,TEMPORARY_PAYMENT_ISSUE,WAIT,0
5.754158681981268,1.0,0.6574328832891014,-0.7071067811865477,0.7071067811865474,1.0,2.0,2.0,4.276666119016055,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,SYN-0000001,314.5,CARD_REPORTED_LOST_OR_STOLEN,HARD_UNRECOVERABLE,INFRASTRUCTURE_RECOVERY,0
7.318241095547165,1.0,0.7805779485581446,-0.8660254037844385,-0.5000000000000004,1.0,0.0,0.0,5.697093486505405,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,SYN-0000002,1506.55,3DS_AUTHENTICATION_REQUIRED,CUSTOMER_ACTION_REQUIRED,WAIT,0
6.150496152954948,0.0,0.8658788867806899,-0.2588190451025208,-0.9659258262890683,1.0,2.0,1.0,6.021023349349527,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,SYN-0000003,467.95,ISSUER_DECLINED_SOFT,TEMPORARY_PAYMENT_ISSUE,SILENT_RETRY,0
5.25858852431904,0.0,0.8366737869597332,1.0,6.123233995736766e-17,0.0,1.0,1.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,SYN-0000004,191.21,GATEWAY_TIMEOUT,INFRASTRUCTURE_TRANSIENT,SILENT_RETRY,1
6.515231075006773,1.0,0.8627420962321274,-0.8660254037844385,-0.5000000000000004,0.0,0.0,8.0,3.912023005428146,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,SYN-0000005,674.35,GATEWAY_UNAVAILABLE,INFRASTRUCTURE_TRANSIENT,CUSTOMER_RESOLUTION,0
4.609958702719888,0.0,0.7125554969790494,-0.2588190451025208,-0.9659258262890683,1.0,1.0,1.0,6.238324625039508,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,SYN-0000006,99.48,RATE_LIMITED,INFRASTRUCTURE_TRANSIENT,SILENT_RETRY,1
8.109934475755296,1.0,0.893262954957077,0.8660254037844386,0.5000000000000001,1.0,1.0,5.0,4.356708826689592,0.8333333333333334,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,SYN-0000007,3326.36,CARD_EXPIRED,PAYMENT_METHOD_ISSUE,WAIT,0
6.346881199730133,1.0,0.9455974502606123,-0.7071067811865477,0.7071067811865474,1.0,1.0,2.0,4.553876891600541,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,SYN-0000008,569.71,3DS_AUTHENTICATION_REQUIRED,CUSTOMER_ACTION_REQUIRED,SILENT_RETRY,0
7.4229354081131635,1.0,0.8042420193436665,-0.5000000000000004,0.8660254037844384,0.0,3.0,7.0,6.306275286948016,0.7,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,SYN-0000009,1672.94,RATE_LIMITED,INFRASTRUCTURE_TRANSIENT,SILENT_RETRY,0
